LEHT
NIEM
LIND
SAAR
KOSK
MÄKI
HEIK
SALO
RANT
SALM
KOIV
JÄRV
TUOM
VIRT
HEIN
PELT
KIVI
LAAK
KORH
KALL
LAHT
MÄKE
VUOR
SEPP
TOIV
AALT
LAIN
JOKI
NURM
HAAP
HÄMÄ
LEPP
LAIT
RAUT
MATT
MART
LEIN
MANN
KINN
KUUS
SUOM
MIKK
HIET
KOKK
MYLL
HONK
HAKA
HIRV
KARJ
TURU
PITK
VIIT
MUST
ANTT
SAVO
PALO
KAUP
VAIN
RAJA
KORP
HAUT
HOLM
OJAL
AHON
MIET
HARJ
KANG
FORS
VÄIS
HUHT
KÄRK
HILT
KARH
KEMP
SUND
TAMM
GRÖN
LAUR
PENT
PART
KONT
LAPP
TIKK
UUSI
NISK
PIET
PULK
BERG
NEVA
RÄSÄ
BJÖR
KETT
HÄNN
JUNT
KESK
KUKK
POHJ
OLLI
VÄLI
OKSA
KARV
KARP
MÄNT
PEKK
MOIL
MÄÄT
LAMP
HUTT
AHOL
MATI
HEIS
HELL
STEN
RINT
VÄHÄ
LAUK
NORD
PESO
HART
KUJA
SAND
VALK
VALT
HANN
KORT
JAAK
BLOM
GRAN
KANK
PIIR
RUOT
TERV
IKON
AHO
JOHA
NYMA
KOPO
KORK
HALO
MERI
VILJ
KANT
KILP
KETO
NIKK
KARL
LUND
SILV
PARK
LUOM
LUUK
SÖDE
MÄEN
JÄÄS
WEST
PIHL
IMMO
LAMM
HYVÄ
TAKA
LESK
KATA
RISS
RUUS
MALI
ANDE
NISS
MARK
PARV
PAJU
PAAV
HÄKK
HAKK
ALAN
VANH
JOKE
KERÄ
KUMP
PERÄ
NUMM
PAAN
SILL
SOIN
SYRJ
SIMO
KARI
METS
OJAN
HÄRK
MALM
VESA
HALM
KAAR
KURK
KOSO
MAKK
BACK
PALM
ERIK
KYLL
NYKÄ
REPO
VART
KIVE
HOLO
JUSS
LIIM
RIIH
HYVÖ
RINN
TIMO
LIUK
HOKK
LATV
TIAI
LILJ
PASA
HUUS
RIST
HUOV
AUTI
MARJ
SANT
VÄÄN
KOTI
ANTI
RÄIS
ROSE
VALL
LINN
RAIT
LINT
KIIS
PAKA
ESKE
TUOV
KOVA
SIPI
LÄHT
YLI-
KOIS
PAAS
WALL
KART
PYYK
SAUK
REIN
KOLE
NUUT
PENN
LEPI
KULM
TOLO
NOUS
ALA-
TASK
HYTT
ESKO
LUKK
VEST
RIIK
PIIP
HALL
NIKU
ÖSTE
DAHL
PÄIV
HELI
TÖRM
ASIK
HUOT
RUOH
PELK
HELE
KAUK
RONK
KAIN
KUOS
HAAV
NIIN
JALO
SAVI
PELL
LAIH
TOLV
RAUH
RUOK
KOMU
VOUT
MÄNN
SJÖB
VIRK
PUUS
KANE
SUHO
SILT
LASS
PIRI
TAIP
PÄÄK
VIER
LÖNN
KUIS
PAAK
MOIS
KANN
YLIT
TURP
EKLU
HAAT
FAGE
ERON
HAIK
RÖNK
KUIV
GUST
SUON
MAJA
AUVI
POIK
HASS
TANS
SIHV
SAAS
VARI
VIIN
LÄHD
SARA
HENT
JUUT
JUVO
OIKA
POUT
PUHA
KÄHK
RYTK
SALL
MURT
ALAT
PIRT
KNUU
LUOT
KEIN
TARV
JAUH
PULL
JANS
LEMP
KYTÖ
HÄGG
KUIT
HELM
HAKO
ERKK
KLEM
RAHK
SAIN
NYLU
BÄCK
HINT
SÄRK
HYTÖ
HENR
VAAR
JUNN
LYYT
HAVE
KEKK
KAUT
RÖNN
PERT
YLIN
SINI
YLIK
UOTI
HAAR
LANK
HYYT
KAIK
VÄYR
NYBE
KAJA
AIRA
PAKK
ROSS
LIPP
TALV
OINO
UKKO
RAAT
PIKK
AHOK
STRÖ
SORV
HERR
JOEN
LEHI
SUUT
SINK
NIIR
RÄTY
HELA
KAUR
ROMP
JAAT
TÄHT
HANH
TOIK
KÄMÄ
MOHA
KAIP
SIIR
AHTI
VIRO
AARN
SIPP
MONO
KAUN
LIIK
LEHM
JÄNT
HOVI
INKI
TIIT
YLÖN
TURK
VENÄ
ÅKER
NORR
MUHO
ALHO
OVAS
HALT
STRA
SIPO
KOST
RASI
MANS
SUUR
TENH
SIIT
KURO
PIIS
KUOK
PAJA
VARJ
LUOS
PEUR
KAKK
PEHK
TIRK
LAHD
TARK
NYST
WAHL
PÖLL
TIIH
PERK
SNEL
TAPI
MAUN
RANN
SIRV
SIRÉ
PURA
MEHT
ELO
ORAV
ELOR
HURM
TAUR
AITT
HEIM
TAKK
KASK
RYYN
VEPS
TAPA
VEIJ
TURT
PUOL
SUOR
KAUH
FINN
IHAL
KIUR
PÖYH
FRIM
LÅNG
JYLH
KOTA
TALL
TUKI
MONT
LEIV
JÄMS
HOLA
SUVA
TIIL
PETÄ
PYLK
PUUR
ARO
KELL
WIKS
KAAS
EERO
KÄÄR
ALAK
SUTI
HAUK
TANN
KUNN
NIVA
KUPA
SYVÄ
VIHE
HUKK
KUOP
TORV
KYLM
SIVO
LOHI
ISOK
SARK
ALAS
RAHI
HAKU
KIRJ
PETT
KOHO
MANT
SORS
NENO
VUOL
SORM
KORV
KOLJ
RATI
MUUR
NIIT
RIEK
TERÄ
SALI
VÄÄT
TUHK
HYNN
SIIV
LUHT
ROIN
VILK
PAUK
TAHV
PAAJ
KURT
AHVE
LAAM
VILL
WILL
PUTK
NYGÅ
PUUM
SAIR
SUOK
LAUT
EKMA
KANA
MERT
PURO
JURV
FRAN
JANT
WECK
AROL
SELI
LÄMS
SIRK
NEUV
VÄNT
NÄRH
SIIK
STOR
SAHL
VEHM
KERO
HAPP
LOUH
SAIK
SAVE
SUNI
MINK
PUTT
HULK
RITA
REKO
HANS
NYHO
TÖRN
TORN
KOSU
NYYS
VON 
REME
JANH
VATA
KOUK
HÄYR
LOUK
ARVO
ISOT
JUUS
KUPI
LEPO
VASA
JALA
SIVU
SVEN
EKHO
HUUH
PIRH
ROIV
VAIT
VALO
AHLS
ITKO
REIJ
RAUN
OLKK
JOUT
TUOH
SKOG
SIEK
HAVU
KEST
ISOM
JAKO
SUIK
HEMM
SETÄ
FLIN
MIEL
VEHK
LEVO
VILP
TOSS
KARE
LAAT
SOIK
LILL
RYHÄ
HAGE
TOPP
HIMA
VAHT
SIRO
TORK
TYNI
VIKS
KUIK
NGUY
HAAN
KEKÄ
HURS
STÅH
REUN
HUSS
RÄIH
ANNA
MYKK
TUUN
HILD
RÄMÖ
PURS
TORO
LAMB
KAIS
KURV
VÄNS
JÄPP
KYRÖ
PYLV
RIIP
TIEN
ERVA
MYYR
JALK
HILL
ALI
MAIJ
LAAS
METT
MALK
RIMP
LOIK
VAUH
KOLA
PYNN
TEPP
KÄRN
TUUR
TOMM
SALA
YRJÖ
TYNK
UTRI
IIVO
LUOK
JULK
HONG
KAIJ
PORK
YLIM
KUUK
KAIV
HANK
KATT
ETEL
ROUV
ELOM
OKKO
HYNY
LAUN
MÄHÖ
VIHA
SAKS
AHME
HÄRM
LANT
KERV
JORM
AURA
BORG
KULT
ÄIJÄ
SMED
RASK
LEVÄ
NIKA
KELA
PEIP
NISU
BRAN
SIEV
ROUH
ÖHMA
IIVA
NAUK
KRON
VEHV
TAPO
PURH
VENT
SUOJ
MULT
MUTA
RUUT
OJA
SÄKK
KURI
HUIK
KAIT
PUKK
HOLL
HINK
KOPP
VIKM
TAAV
PUSK
VIIK
KOJO
ROOS
TILL
HOFF
YLIS
PALV
ROPP
HAAK
SARI
LEMM
RISK
KENT
TIIR
RIPA
KULL
PAUL
PÖNT
KALE
TÖLL
AHLG
HIRS
VILE
VÄÄR
PAUN
NUOR
JUUR
SAHA
PARI
JUHO
EK
FRED
TONT
HYYR
HUJA
HYPP
TIRR
TUON
LEIK
LAUL
SIRE
KUNT
TUPP
ARON
HAIM
SCHR
SIMI
EKST
VALJ
GRÖH
ISO-
LÖYT
NILS
TAIV
MARI
KOUV
RAAP
RUHA
TUUL
PORT
PATR
KUHA
ILOM
SILA
MANK
KESÄ
TEIT
KAAK
LAVI
RÄIK
VORN
VANN
MAJU
POLL
HOIK
IKÄH
KÄYH
ILVE
LAGE
VITI
LAPI
ÅBER
JUTI
MÖNK
RIKK
KARS
HAMM
VILÉ
KULJ
SJÖH
ÖSTM
VAKK
SULK
HALI
JYRK
REIM
KILJ
KUVA
NOKE
KUUL
RAIV
KUUT
AHTO
ALAR
PALD
KARA
TISS
TÖYR
CARL
HARM
POLV
KIRV
HEDM
IJÄS
KEIS
HARI
SJÖS
PEKO
PIEN
RUSA
KALA
UUTE
YLÄ-
PÖYS
KORJ
SURA
TUUK
KAPA
RAIS
MELA
SUIH
KURU
PIRK
HUMA
TUOR
WICK
MUUK
TAIN
ENGB
KYLÄ
MAAN
YRJÄ
MELL
UIMO
HOTT
KAST
ILVO
NURK
CEDE
PÄRS
RÄMÄ
KÖNÖ
PERN
PIIL
HÖGL
TERH
AIRI
RAIN
SUVI
LUMI
TRAN
PAHK
HIEK
INKE
KOHT
ROST
KAMP
KARK
SILF
ROKK
SORJ
PÖYR
ISAK
VIEN
HYYP
PYKÄ
IKÄV
HERT
MÖTT
TUOK
ILMO
LOPO
ARPO
VEIK
KRÖG
HERM
ENQV
